Name,,Voted By,Inducted As,Votes,% of Ballots
Lefty Grove,1900-1975,BBWAA,Player,123,76.40%
Carl Hubbell,1903-1988,BBWAA,Player,140,87.00%
Jesse Burkett,1868-1953,Old Timers,Player,,
Frank Chance,1876-1924,Old Timers,Player,,
Jack Chesbro,1874-1931,Old Timers,Player,,
Johnny Evers,1881-1947,Old Timers,Player,,
Clark Griffith,1869-1955,Old Timers,Pioneer/Executive,,
Tommy McCarthy,1863-1922,Old Timers,Player,,
Joe McGinnity,1871-1929,Old Timers,Player,,
Eddie Plank,1875-1926,Old Timers,Player,,
Joe Tinker,1880-1948,Old Timers,Player,,
Rube Waddell,1876-1914,Old Timers,Player,,
Ed Walsh,1881-1959,Old Timers,Player,,
Roger Bresnahan,1879-1944,Old Timers,Player,,
Dan Brouthers,1858-1932,Old Timers,Player,,
Fred Clarke,1872-1960,Old Timers,Player,,
Jimmy Collins,1870-1943,Old Timers,Player,,
Ed Delahanty,1867-1903,Old Timers,Player,,
Hugh Duffy,1866-1954,Old Timers,Player,,
Hughie Jennings,1869-1928,Old Timers,Player,,
King Kelly,1857-1894,Old Timers,Player,,
Jim O'Rourke,1850-1919,Old Timers,Player,,
Wilbert Robinson,1864-1934,Old Timers,Manager,,
Kenesaw Mountain Landis,1866-1944,Old Timers,Pioneer/Executive,,
Rogers Hornsby,1896-1963,BBWAA,Player,182,78.10%
Cap Anson,1852-1922,Old Timers,Player,,
Eddie Collins,1887-1951,BBWAA,Player,213,77.70%
Charlie Comiskey,1859-1931,Old Timers,Pioneer/Executive,,
Candy Cummings,1848-1924,Old Timers,Pioneer/Executive,,
Buck Ewing,1859-1906,Old Timers,Player,,
Lou Gehrig,1903-1941,Special Election,Player,,
Willie Keeler,1872-1923,BBWAA,Player,207,75.50%
Old Hoss Radbourn,1854-1897,Old Timers,Player,,
George Sisler,1893-1973,BBWAA,Player,235,85.80%
Al Spalding,1850-1915,Old Timers,Pioneer/Executive,,
Pete Alexander,1887-1950,BBWAA,Player,212,80.90%
Alexander Cartwright,1820-1892,Centennial,Pioneer/Executive,,
Henry Chadwick,1824-1908,Centennial,Pioneer/Executive,,
Morgan Bulkeley,1837-1922,Centennial,Pioneer/Executive,,
Ban Johnson,1865-1931,Centennial,Pioneer/Executive,,
Nap Lajoie,1874-1959,BBWAA,Player,168,83.60%
Connie Mack,1862-1956,Centennial,Manager,,
John McGraw,1873-1934,Centennial,Manager,,
Tris Speaker,1888-1958,BBWAA,Player,165,82.10%
George Wright,1847-1937,Centennial,Pioneer/Executive,,
Cy Young,1867-1955,BBWAA,Player,153,76.10%
Ty Cobb,1886-1961,BBWAA,Player,222,98.20%
Walter Johnson,1887-1946,BBWAA,Player,189,83.60%
Christy Mathewson,1880-1925,BBWAA,Player,205,90.70%
Babe Ruth,1895-1948,BBWAA,Player,215,95.10%
Honus Wagner,1874-1955,BBWAA,Player,215,95.10%
